;Neighborhood;Postal Code;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
43;Davisville North;M4P;Hotel;Gym;Food & Drink Shop;Sandwich Place;Breakfast Spot;Park;Department Store;Dim Sum Restaurant;Diner;Discount Store
44;North Toronto West, Lawrence Park;M4R;Coffee Shop;Clothing Store;Yoga Studio;Chinese Restaurant;Spa;Sporting Goods Shop;Diner;Fast Food Restaurant;Metro Station;Mexican Restaurant
45;Davisville;M4S;Sandwich Place;Dessert Shop;Pizza Place;Gym;Sushi Restaurant;Café;Coffee Shop;Italian Restaurant;Discount Store;Flower Shop
46;Moore Park, Summerhill East;M4T;Tennis Court;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Donut Shop;Deli / Bodega
47;Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park;M4V;Pub;Coffee Shop;Bagel Shop;Light Rail Station;Sports Bar;Restaurant;Supermarket;Sushi Restaurant;Bank;Liquor Store
48;Rosedale;M4W;Park;Trail;Playground;Yoga Studio;Department Store;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center
49;St. James Town, Cabbagetown;M4X;Coffee Shop;Pizza Place;Market;Restaurant;Pub;Bakery;Italian Restaurant;Café;Gift Shop;Deli / Bodega
50;Church and Wellesley;M4Y;Coffee Shop;Japanese Restaurant;Sushi Restaurant;Gay Bar;Restaurant;Yoga Studio;Bubble Tea Shop;Burger Joint;Pub;Café
51;Regent Park, Harbourfront;M5A;Coffee Shop;Bakery;Park;Pub;Theater;Café;Breakfast Spot;Distribution Center;Restaurant;Spa
52;Garden District, Ryerson;M5B;Clothing Store;Coffee Shop;Middle Eastern Restaurant;Bubble Tea Shop;Japanese Restaurant;Café;Italian Restaurant;Cosmetics Shop;Fast Food Restaurant;Diner
53;St. James Town;M5C;Café;Coffee Shop;Cocktail Bar;American Restaurant;Gastropub;Moroccan Restaurant;Italian Restaurant;Restaurant;Lingerie Store;Clothing Store
54;Berczy Park;M5E;Coffee Shop;Cocktail Bar;Bakery;Seafood Restaurant;Café;Cheese Shop;Restaurant;Beer Bar;Bistro;Farmers Market
55;Central Bay Street;M5G;Coffee Shop;Sandwich Place;Italian Restaurant;Japanese Restaurant;Café;Dessert Shop;Middle Eastern Restaurant;Thai Restaurant;Department Store;Salad Place
56;Richmond, Adelaide, King;M5H;Coffee Shop;Café;Restaurant;Hotel;Deli / Bodega;Gym;Thai Restaurant;Bookstore;Salad Place;Steakhouse
57;Harbourfront East, Union Station, Toronto Islands;M5J;Coffee Shop;Aquarium;Café;Hotel;Brewery;Restaurant;Fried Chicken Joint;Sporting Goods Shop;Scenic Lookout;Bar
58;Toronto Dominion Centre, Design Exchange;M5K;Coffee Shop;Hotel;Café;Restaurant;Seafood Restaurant;Salad Place;Japanese Restaurant;Italian Restaurant;American Restaurant;Concert Hall
59;Commerce Court, Victoria Hotel;M5L;Coffee Shop;Café;Restaurant;Hotel;Gym;American Restaurant;Seafood Restaurant;Italian Restaurant;Japanese Restaurant;Gastropub
60;Bedford Park, Lawrence Manor East;M5M;Italian Restaurant;Coffee Shop;Restaurant;Sandwich Place;Pharmacy;Sushi Restaurant;Grocery Store;Indian Restaurant;Juice Bar;Liquor Store
61;Roselawn;M5N;Home Service;Music Venue;Garden;Electronics Store;Eastern European Restaurant;Dumpling Restaurant;Drugstore;Donut Shop;Doner Restaurant;Deli / Bodega
62;Forest Hill North & West, Forest Hill Road Park;M5P;Jewelry Store;Park;Sushi Restaurant;Trail;Doner Restaurant;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
63;The Annex, North Midtown, Yorkville;M5R;Café;Sandwich Place;Coffee Shop;Pharmacy;BBQ Joint;Pizza Place;Pub;Middle Eastern Restaurant;Burger Joint;Donut Shop
64;University of Toronto, Harbord;M5S;Café;Bookstore;Bar;Italian Restaurant;Japanese Restaurant;Restaurant;Bakery;Chinese Restaurant;Pub;Dessert Shop
65;Kensington Market, Chinatown, Grange Park;M5T;Café;Coffee Shop;Mexican Restaurant;Bakery;Vietnamese Restaurant;Vegetarian / Vegan Restaurant;Dessert Shop;Arts & Crafts Store;Gaming Cafe;Bar
66;CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport;M5V;Airport Service;Airport Lounge;Harbor / Marina;Boat or Ferry;Coffee Shop;Rental Car Location;Sculpture Garden;Boutique;Plane;Airport Terminal
67;Stn A PO Boxes;M5W;Coffee Shop;Café;Italian Restaurant;Restaurant;Beer Bar;Cocktail Bar;Hotel;Seafood Restaurant;Japanese Restaurant;Creperie
68;First Canadian Place, Underground city;M5X;Coffee Shop;Café;Hotel;Restaurant;Gym;Seafood Restaurant;American Restaurant;Steakhouse;Salad Place;Japanese Restaurant
69;Lawrence Manor, Lawrence Heights;M6A;Furniture / Home Store;Clothing Store;Accessories Store;Vietnamese Restaurant;Miscellaneous Shop;Event Space;Boutique;Coffee Shop;Construction & Landscaping;Dim Sum Restaurant
70;Glencairn;M6B;Pub;Bakery;Park;Japanese Restaurant;Doner Restaurant;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
71;Humewood-Cedarvale;M6C;Trail;Field;Park;Hockey Arena;Yoga Studio;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
72;Caledonia-Fairbanks;M6E;Park;Women's Store;Pool;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
73;Christie;M6G;Grocery Store;Café;Park;Nightclub;Diner;Italian Restaurant;Restaurant;Candy Store;Athletics & Sports;Baby Store
74;Dufferin, Dovercourt Village;M6H;Bakery;Pharmacy;Park;Furniture / Home Store;Bank;Café;Smoke Shop;Supermarket;Middle Eastern Restaurant;Music Venue
75;Little Portugal, Trinity;M6J;Bar;Coffee Shop;Vegetarian / Vegan Restaurant;Restaurant;Café;Asian Restaurant;Men's Store;Juice Bar;Japanese Restaurant;Brewery
76;Brockton, Parkdale Village, Exhibition Place;M6K;Café;Breakfast Spot;Performing Arts Venue;Coffee Shop;Grocery Store;Climbing Gym;Burrito Place;Stadium;Italian Restaurant;Intersection
77;North Park, Maple Leaf Park, Upwood Park;M6L;Bakery;Park;Construction & Landscaping;Basketball Court;Yoga Studio;Donut Shop;Discount Store;Distribution Center;Dog Run;Doner Restaurant
78;Del Ray, Mount Dennis, Keelsdale and Silverthorn;M6M;Fast Food Restaurant;Turkish Restaurant;Sandwich Place;Museum;Dog Run;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center
79;Runnymede, The Junction North;M6N;Pizza Place;Grocery Store;Brewery;Bus Line;Doner Restaurant;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run
80;High Park, The Junction South;M6P;Thai Restaurant;Café;Mexican Restaurant;Grocery Store;Music Venue;Cajun / Creole Restaurant;Diner;Fast Food Restaurant;Bookstore;Speakeasy
81;Parkdale, Roncesvalles;M6R;Breakfast Spot;Gift Shop;Cuban Restaurant;Eastern European Restaurant;Dog Run;Italian Restaurant;Bar;Bank;Dessert Shop;Restaurant
82;Runnymede, Swansea;M6S;Pizza Place;Coffee Shop;Café;Sushi Restaurant;Pub;Italian Restaurant;Scenic Lookout;Bar;Indie Movie Theater;Fish & Chips Shop
83;Queen's Park, Ontario Provincial Government;M7A;Coffee Shop;Sushi Restaurant;Yoga Studio;Bank;Beer Bar;Smoothie Shop;Burrito Place;Sandwich Place;Café;Park
84;Canada Post Gateway Processing Centre;M7R;Hotel;Coffee Shop;Middle Eastern Restaurant;Burrito Place;Sandwich Place;Gas Station;Intersection;American Restaurant;Fried Chicken Joint;Mediterranean Restaurant
85;Business reply mail Processing Centre, South Central Letter Processing Plant Toronto;M7Y;Light Rail Station;Yoga Studio;Park;Smoke Shop;Brewery;Skate Park;Burrito Place;Restaurant;Recording Studio;Comic Shop
86;New Toronto, Mimico South, Humber Bay Shores;M8V;Restaurant;Liquor Store;Bakery;Fried Chicken Joint;Seafood Restaurant;Café;American Restaurant;Fast Food Restaurant;Coffee Shop;Gym
87;Alderwood, Long Branch;M8W;Pizza Place;Pharmacy;Gym;Coffee Shop;Sandwich Place;Skating Rink;Pub;Yoga Studio;Discount Store;Department Store
88;The Kingsway, Montgomery Road, Old Mill North;M8X;River;Park;Smoke Shop;Yoga Studio;Dog Run;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center
89;Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East;M8Y;Baseball Field;Yoga Studio;Donut Shop;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Drugstore;Dessert Shop
90;Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West;M8Z;Grocery Store;Wings Joint;Social Club;Hardware Store;Discount Store;Gym;Fast Food Restaurant;Convenience Store;Bakery;Supplement Shop
91;West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale;M9B;Home Service;Donut Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Yoga Studio;Department Store
92;Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood;M9C;Pharmacy;Coffee Shop;Liquor Store;Beer Store;Shopping Plaza;Café;Pizza Place;Park;Comfort Food Restaurant;Dessert Shop
93;Humber Summit;M9L;Pizza Place;Doner Restaurant;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Donut Shop;College Rec Center
94;Humberlea, Emery;M9M;Baseball Field;Yoga Studio;Donut Shop;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Drugstore;Dessert Shop
95;Weston;M9N;Park;Yoga Studio;Donut Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Dog Run;Doner Restaurant;Drugstore
96;Westmount;M9P;Pizza Place;Coffee Shop;Sandwich Place;Discount Store;Chinese Restaurant;Intersection;Drugstore;Donut Shop;Doner Restaurant;Deli / Bodega
97;Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens;M9R;Pizza Place;Sandwich Place;Mobile Phone Shop;Bus Line;Department Store;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Yoga Studio
98;South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens;M9V;Grocery Store;Pharmacy;Fast Food Restaurant;Sandwich Place;Beer Store;Fried Chicken Joint;Pizza Place;Drugstore;Dumpling Restaurant;Donut Shop
99;Northwest, West Humber - Clairville;M9W;Rental Car Location;Drugstore;Yoga Studio;Dog Run;Dessert Shop;Dim Sum Restaurant;Diner;Discount Store;Distribution Center;Doner Restaurant
